Title,Authors,Year,Venue,DOI
How Does Data Access Shape Science? The Impact of Federal Statistical Research Data Centers on Economics Research,"Nagaraj, Tranchero",2023.0,N/A,https://doi.org/10.3386/w31372
Restricted‐Access Research Data Centers (NSF),,2020.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31156
BFS: Get Data from the Swiss Federal Statistical Office,Luginbuhl,2019.0,CRAN: Contributed Packages,https://doi.org/10.32614/cran.package.bfs
Federal Automotive Statistical Tool: FY 2022 Federal Fleet Trends and Data Quality [Slides],Stewart,2023.0,N/A,https://doi.org/10.2172/2299525
Data Editing in Federal Statistical Agencies.,Bolstein,1991.0,Journal of the American Statistical Association,https://doi.org/10.2307/2290618
Federal Automotive Statistical Tool: FY 2018 Federal Fleet Data Call [Slides],"Unknown, Stewart, Raczek",2018.0,N/A,https://doi.org/10.2172/1632343
"New Approaches to Confidentiality Protection: Synthetic Data, Remote Access and Research Data Centers","Abowd, Lane",2004.0,Lecture Notes in Computer Science,https://doi.org/10.1007/978-3-540-25955-8_22
Data Mining in Federal Agencies,"Banks, Olszewski",2003.0,Statistical Data Mining and Knowledge Discovery,https://doi.org/10.1201/9780203497159.ch32
More Hispanic Data Available from Federal Statistical Agencies,Unknown,2000.0,PsycEXTRA Dataset,https://doi.org/10.1037/e320312004-006
Federal Labs and Research Centers Benefiting California: 2017 Impact Report for State Leaders.,Koning,2017.0,N/A,https://doi.org/10.2172/1414894
Comprehensive Alcohol Research Centers (NIAAA),,2019.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.30581
Specialized Alcohol Research Centers (NIAAA),,2023.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.33104
Comprehensive Alcohol Research Centers (NIAA),,2022.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.32363
Nutrition Obesity Research Centers (NIDDK),,2024.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.33768
Federal Automotive Statistical Tool: FY 2022 Data Call Status &amp; Review Tools [Slides],"Kallaje, Stewart",2022.0,N/A,https://doi.org/10.2172/1901820
wiesbaden: Access Databases from the Federal Statistical Office of Germany,Marbach,2019.0,CRAN: Contributed Packages,https://doi.org/10.32614/cran.package.wiesbaden
Specialized Alcohol Research Centers (NIAAA),,2024.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.33743
Automatic Data Processing Seminar for Federal Executives.,C.,1962.0,Journal of the American Statistical Association,https://doi.org/10.2307/2281853
Research Centers in Minority Institutions (NIMHD),,2023.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.33346
Emerging Infectious Disease Research Centers (NIAID),,2019.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.30400
Planning Grants for Engineering Research Centers (NSF),,2019.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.30325
sdcLog: Tools for Statistical Disclosure Control in Research Data Centers,"Gomolka, Becker",2020.0,CRAN: Contributed Packages,https://doi.org/10.32614/cran.package.sdclog
Materials Research Science and Engineering Centers (NSF),,2021.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31972
Humanities Research Centers on Artificial Intelligence (NEH),,2024.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.33942
Planning Grants for Engineering Research Centers (NSF),,2020.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31422
Practice‐Based Suicide Prevention Research Centers (NIMH),,2020.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31258
Humanities Research Centers on Artificial Intelligence (NEH),,2023.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.33354
Military Cost Analysis in the FCRCs (Federal Contract Research Centers) - 1950-1975,McCullough,1975.0,N/A,https://doi.org/10.21236/ada019701
The Federal Data Base Finder.,"Kmenta, Zarozny, Horner",1985.0,Journal of the American Statistical Association,https://doi.org/10.2307/2288596
"Uniform Crime Reports, 1966-1976: Data Aggregated by Standard Metropolitan Statistical Areas",Unknown,1984.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr07743.v1
The Role of Telephone Data Collection in Federal Statistics.,Waksberg,1985.0,Journal of the American Statistical Association,https://doi.org/10.2307/2288597
Asthma and Allergic Diseases Cooperative Research Centers (NIAID),,2025.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.34224
Making Federal Data More Useful and Accessible to Fuel Media and Democracy: A Report for the Federal Committee on Statistical Methodology,Wihbey,2014.0,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.2567932
NICHD population dynamics centers research infrastructure program (NICHD),,2022.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.32552
Centralized Internal Control of Data Collection by Federal Agencies,Crowder,1944.0,Journal of the American Statistical Association,https://doi.org/10.2307/2279946
